DN16,53.58,-0.66
DN17,53.58,-0.66
DN18,53.69,-0.45
DN19,53.68,-0.38
DN2,53.53,-1.13
DN20,53.57,-0.55
DN21,53.39,-0.77
DN22,53.33,-0.82
DN3,53.58,-1.07
DN31,53.57,-0.08
DN32,53.55,-0.08
DN33,53.55,-0.1
DN34,53.56,-0.1
DN35,53.55,-0.02
DN36,53.53,-0.03
DN37,53.54,-0.12
DN38,53.6,-0.39
DN39,53.58,-0.35
DN4,53.52,-1.14
DN40,53.62,-0.2
DN41,53.58,-0.18
DN5,53.55,-1.15
DN55,53.51,-1.13
DN6,53.61,-1.15
DN7,53.58,-1.02
DN8,53.61,-0.97
DN9,53.52,-0.81
DT1,50.72,-2.44
DT10,50.93,-2.3
DT11,50.8,-2.23
DT2,50.78,-2.57
DT3,50.61,-2.49
DT4,50.61,-2.46
DT5,50.56,-2.45
DT6,50.73,-2.76
DT7,50.73,-2.94
DT8,50.81,-2.74
DT9,50.95,-2.51
DY1,52.51,-2.09
DY10,52.39,-2.25
DY11,52.39,-2.26
DY12,52.4,-2.32
DY13,52.34,-2.28
DY14,52.37,-2.5
DY2,52.48,-2.08
DY3,52.54,-2.1
DY4,52.54,-2.04
DY5,52.48,-2.1
DY6,52.49,-2.19
DY7,52.46,-2.21
DY8,52.46,-2.15
DY9,52.38,-2.12
E1,51.51,-0.05
E10,51.57,-0.01
E11,51.56,0.01
E12,51.55,0.05
E13,51.53,0.02
E14,51.51,-0.02
E15,51.55,0.01
E16,51.51,0.02
E17,51.59,-0.02
E18,51.59,0.03
E1W,51.51,-0.07
E2,51.53,-0.07
E20,51.55,-0.01
E3,51.53,-0.03
E4,51.63,0.01
E5,51.56,-0.05
E6,51.54,0.04
E7,51.55,0.02
E77,51.51,-0.07
E8,51.54,-0.06
E9,51.55,-0.04
E98,51.51,-0.06
EC1A,51.53,-0.11
EC1M,51.52,-0.11
EC1N,51.52,-0.11
EC1P,51.52,-0.11
EC1R,51.52,-0.11
EC1V,51.52,-0.1
EC1Y,51.52,-0.1
EC2A,51.52,-0.09
EC2M,51.52,-0.08
EC2N,51.51,-0.08
EC2P,51.52,-0.11
EC2R,51.52,-0.09
EC2V,51.52,-0.09
EC2Y,51.52,-0.1
EC3A,51.51,-0.08
EC3B,51.51,-0.08
EC3M,51.51,-0.09
EC3N,51.51,-0.08
EC3P,51.52,-0.11
EC3R,51.51,-0.08
EC3V,51.51,-0.08
EC4A,51.52,-0.11
EC4M,51.52,-0.1
EC4N,51.51,-0.09
EC4P,51.52,-0.11
EC4R,51.51,-0.09
EC4V,51.51,-0.09
EC4Y,51.51,-0.1
EC50,51.52,-0.11
EC88,51.53,-0.08
EH1,55.95,-3.19
EH10,55.94,-3.21
EH11,55.94,-3.22
EH12,55.95,-3.32
EH13,55.91,-3.25
EH14,55.93,-3.24
EH15,55.95,-3.12
EH16,55.93,-3.15
EH17,55.91,-3.13
EH18,55.88,-3.11
EH19,55.88,-3.11
EH2,55.96,-3.19
EH20,55.87,-3.1
EH21,55.94,-3.06
EH22,55.89,-3.07
EH23,55.85,-3.05
EH24,55.85,-3.14
EH25,55.86,-3.16
EH26,55.83,-3.23
EH27,55.89,-3.42
EH28,55.92,-3.4
EH29,55.96,-3.4
EH3,55.96,-3.2
EH30,55.97,-3.35
EH31,56.03,-2.83
EH32,55.97,-2.96
EH33,55.95,-2.95
EH34,55.91,-2.9
EH35,55.91,-2.95
EH36,55.87,-2.88
EH37,55.86,-2.97
EH38,55.78,-2.96
EH39,56.06,-2.72
EH4,55.96,-3.23
EH40,55.99,-2.66
EH41,55.96,-2.78
EH42,56,-2.52
EH43,55.62,-3.01
EH44,55.62,-3.06
EH45,55.65,-3.19
EH46,55.73,-3.38
EH47,55.86,-3.72
EH48,55.9,-3.64
EH49,55.98,-3.59
EH5,55.98,-3.22
EH51,56.02,-3.61
EH52,55.93,-3.47
EH53,55.89,-3.48
EH54,55.89,-3.51
EH55,55.85,-3.57
EH6,55.98,-3.18
EH7,55.96,-3.18
EH8,55.96,-3.15
EH9,55.93,-3.19
EH91,55.92,-3.31
EH95,55.98,-3.25
EH99,55.95,-3.17
EN1,51.65,-0.08
EN10,51.73,-0.03
EN11,51.76,-0.01
EN2,51.66,-0.08
EN3,51.64,-0.05
EN4,51.65,-0.15
EN5,51.64,-0.17
EN6,51.7,-0.19
EN7,51.66,-0.08
EN8,51.71,-0.04
EN9,51.69,-0.01
EX1,50.72,-3.53
EX10,50.72,-3.29
EX11,50.75,-3.28
EX12,50.71,-3.07
EX13,50.78,-3
EX14,50.8,-3.19
EX15,50.86,-3.39
EX16,50.9,-3.49
EX17,50.8,-3.65
EX18,50.92,-3.87
EX19,50.91,-4.07
EX2,50.72,-3.53
EX20,50.74,-4
EX21,50.78,-4.19
EX22,50.81,-4.35
EX23,50.79,-4.55
EX24,50.74,-3.07
EX3,50.68,-3.46
EX31,51.08,-4.06
EX32,51.05,-4.05
EX33,51.11,-4.16
EX34,51.2,-4.03
EX35,51.23,-3.83
EX36,51.02,-3.84
EX37,51,-3.98
EX38,50.96,-4.15
EX39,51.04,-4.24
EX4,50.76,-3.49
EX5,50.71,-3.45
EX6,50.73,-3.68
EX7,50.58,-3.46
EX8,50.62,-3.41
EX9,50.63,-3.33
FK1,56,-3.78
FK10,56.12,-3.79
FK11,56.15,-3.85
FK12,56.15,-3.8
FK13,56.15,-3.75
FK14,56.16,-3.67
FK15,56.19,-3.96
FK16,56.19,-4.06
FK17,56.24,-4.22
FK18,56.32,-4.33
FK19,56.39,-4.28
FK2,55.98,-3.73
FK20,56.42,-4.45
FK21,56.45,-4.33
FK3,56.01,-3.72
FK4,56,-3.89
FK5,56.02,-3.83
FK6,56.02,-3.91
FK7,56.09,-3.92
FK8,56.13,-3.94
FK9,56.13,-3.96
FY0,53.75,-3.01
FY1,53.82,-3.05
FY2,53.86,-3.04
FY3,53.82,-3
FY4,53.8,-3.05
FY5,53.88,-3.04
FY6,53.92,-3
FY7,53.92,-3.01
FY8,53.75,-3.03
G1,55.86,-4.24
G11,55.87,-4.31
G12,55.89,-4.32
G13,55.89,-4.33
G14,55.88,-4.35
G15,55.91,-4.36
G2,55.86,-4.25
G20,55.9,-4.3
G21,55.87,-4.22
G22,55.88,-4.26
G23,55.9,-4.28
G3,55.87,-4.28
G31,55.86,-4.22
G32,55.86,-4.15
G33,55.88,-4.17
G34,55.86,-4.11
G4,55.87,-4.24
G40,55.85,-4.23
G41,55.85,-4.29
G42,55.83,-4.24
G43,55.82,-4.3
G44,55.82,-4.26
G45,55.81,-4.23
G46,55.81,-4.3
G5,55.84,-4.24
G51,55.85,-4.3
G52,55.85,-4.33
G53,55.83,-4.35
G58,55.82,-4.33
G60,55.93,-4.49
G61,55.91,-4.33
G62,55.94,-4.31
G63,56.07,-4.44
G64,55.9,-4.2
G65,55.98,-4.05
G66,55.94,-4.16
G67,55.95,-3.99
G68,55.97,-4.02
G69,55.91,-4.08
G70,55.95,-3.98
G71,55.82,-4.05
G72,55.79,-4.09
G73,55.83,-4.2
G74,55.76,-4.18
G75,55.76,-4.19
G76,55.74,-4.27
G77,55.77,-4.34
G78,55.8,-4.4
G79,55.77,-4.22
G80,55.87,-4.24
G81,55.9,-4.39
G82,55.94,-4.57
G83,55.98,-4.58
G84,56.08,-4.83
G9,55.87,-4.24
G90,55.87,-4.24
GL1,51.86,-2.21
GL10,51.74,-2.28
GL11,51.68,-2.36
GL12,51.64,-2.35
GL13,51.69,-2.46
GL14,51.8,-2.45
GL15,51.76,-2.47
GL16,51.81,-2.62
GL17,51.86,-2.45
GL18,51.93,-2.4
GL19,51.88,-2.39
GL2,51.88,-2.22
GL20,51.99,-2.16
GL3,51.89,-2.19
GL4,51.84,-2.24
GL5,51.74,-2.22
GL50,51.9,-2.08
GL51,51.91,-2.11
GL52,51.9,-2.07
GL53,51.88,-2.08
GL54,51.93,-1.72
GL55,52.05,-1.78
GL56,51.99,-1.7
GL6,51.7,-2.22
GL7,51.7,-1.96
GL8,51.64,-2.16
GL9,51.55,-2.29
GU1,51.25,-0.58
GU10,51.23,-0.73
GU11,51.25,-0.76
GU12,51.24,-0.74
GU13,51.26,-0.83
GU14,51.29,-0.77
GU15,51.33,-0.72
GU16,51.32,-0.74
GU17,51.33,-0.78
GU18,51.35,-0.67
GU19,51.36,-0.69
GU2,51.23,-0.58
GU20,51.37,-0.66
GU21,51.32,-0.56
GU22,51.31,-0.57
GU23,51.3,-0.49
GU24,51.3,-0.64
GU25,51.4,-0.56
GU26,51.11,-0.73
GU27,51.1,-0.71
GU28,50.99,-0.61
GU29,51,-0.73
GU3,51.23,-0.63
GU30,51.08,-0.8
GU31,51,-0.94
GU32,51.03,-0.94
GU33,51.08,-0.89
GU34,51.15,-0.98
GU35,51.11,-0.85
GU4,51.25,-0.52
GU46,51.33,-0.83
GU47,51.35,-0.78
GU5,51.2,-0.56
GU51,51.3,-0.86
